,Athlete,NOC,Medal,Edition
197,"VASSEUR, Paul",FRA,Bronze,1900
198,"COE, Thomas",GBR,Gold,1900
199,"DERBYSHIRE, John Henry",GBR,Gold,1900
200,"KEMP, Peter",GBR,Gold,1900
201,"LISTER, William",GBR,Gold,1900
202,"ROBERTSON, Arthur",GBR,Gold,1900
203,"ROBINSON, Eric",GBR,Gold,1900
204,"WILKINSON, George",GBR,Gold,1900
205,"COHEN, Henri",BEL,Silver,1900
206,"DE BACKER, Jean",BEL,Silver,1900
207,"DE BEHR, Victor",BEL,Silver,1900
208,"FEYAERTS, Fernand",BEL,Silver,1900
209,"GREGOIRE, Oscar",BEL,Silver,1900
210,"MICHANT, Albert",BEL,Silver,1900
211,"SONNEMANS, Victor",BEL,Silver,1900
212,"PETIT, Charles Frédéric",FRA,Bronze,1900
213,"VAN INNIS, Hubert",BEL,Gold,1900
214,"THIBAUD, Victor",FRA,Silver,1900
215,"MERCIER, Emile",FRA,Bronze,1900
216,"MOUGIN, Eugène",FRA,Gold,1900
217,"HELLE, Henri",FRA,Silver,1900
218,"PETIT, Charles Frédéric",FRA,Bronze,1900
219,"VAN INNIS, Hubert",BEL,Gold,1900
220,"THIBAUD, Victor",FRA,Silver,1900
221,"FISSEUX, Emile",FRA,Bronze,1900
222,"HEROUIN, Henri",FRA,Gold,1900
223,"VAN INNIS, Hubert",BEL,Silver,1900
224,"FOULON, Emmanuel",BEL,Gold,1900
225,"DRUART, Jr.",BEL,Silver,1900
226,"SERRURIER, Auguste",FRA,Silver,1900
227,"GLINEUX, Louis",BEL,Bronze,1900
228,"GRUMIAUX, Emile",FRA,Gold,1900
229,"SERRURIER, Auguste",FRA,Silver,1900
230,"ROWLEY, Stanley",AUS,Bronze,1900
231,"JARVIS, Francis",USA,Gold,1900
232,"TEWKSBURY, Walter B. John",USA,Silver,1900
233,"MOLONEY, Frederick",USA,Bronze,1900
234,"KRAENZLEIN, Alvin",USA,Gold,1900
235,"MCLEAN, John",USA,Silver,1900
236,"BRAY, John",USA,Bronze,1900
237,"BENNETT, Charles",GBR,Gold,1900
238,"DELOGE, Henri",FRA,Silver,1900
239,"ROWLEY, Stanley",AUS,Bronze,1900
240,"TEWKSBURY, Walter B. John",USA,Gold,1900
241,"PRITCHARD, Norman",IND,Silver,1900
242,"TEWKSBURY, Walter B. John",USA,Bronze,1900
243,"KRAENZLEIN, Alvin",USA,Gold,1900
244,"PRITCHARD, Norman",IND,Silver,1900
245,"CHASTANIE, Jacques",FRA,Bronze,1900
246,"ORTON, George",CAN,Gold,1900
247,"ROBINSON, Sidney",GBR,Silver,1900
248,"ROBINSON, Sidney",GBR,Bronze,1900
249,"RIMMER, John",GBR,Gold,1900
250,"BENNETT, Charles",GBR,Silver,1900
251,"SCHULTZ, Ernst",DEN,Bronze,1900
252,"LONG, Maxwell W.Maxey",USA,Gold,1900
253,"HOLLAND, William",USA,Silver,1900
254,"ORTON, George",CAN,Bronze,1900
