,Athlete,NOC,Medal,Edition
12859,"ASCH, Peter Gregory",USA,Bronze,1972
12860,"BARNETT, Steven William",USA,Bronze,1972
12861,"BRADLEY, Myron Bruce",USA,Bronze,1972
12862,"COLE, Stanley Clark",USA,Bronze,1972
12863,"FERGUSON, James Michael",USA,Bronze,1972
12864,"LINDROTH, Eric Emil",USA,Bronze,1972
12865,"PARKER, John Michael",USA,Bronze,1972
12866,"SHEERER, Gary Peter",USA,Bronze,1972
12867,"SLATTON, James Walter",USA,Bronze,1972
12868,"WEBB, Russell Irving",USA,Bronze,1972
12869,"WEITZENBERG, Charles Barry",USA,Bronze,1972
12870,"AKIMOV, Anatoli",URS,Gold,1972
12871,"BARKALOV, Aleksei",URS,Gold,1972
12872,"DOLGUSHIN, Aleksandr",URS,Gold,1972
12873,"DREVAL, Aleksandr",URS,Gold,1972
12874,"GULYAEV, Vadim",URS,Gold,1972
12875,"KABANOV, Aleksandr",URS,Gold,1972
12876,"MELNIKOV, Nikolai",URS,Gold,1972
12877,"OSIPOV, Leonid",URS,Gold,1972
12878,"SHIDLOVSKY, Aleksandr",URS,Gold,1972
12879,"SHMUDSKY, Vladimir",URS,Gold,1972
12880,"SOBCHENKO, Viacheslav",URS,Gold,1972
12881,"BODNAR, Andras",HUN,Silver,1972
12882,"CSERVENYAK, Tibor",HUN,Silver,1972
12883,"FARAGO, Tamas",HUN,Silver,1972
12884,"GÖRGENYI, Istvan",HUN,Silver,1972
12885,"KASAS, Zoltan",HUN,Silver,1972
12886,"KONRAD, Ferenc",HUN,Silver,1972
12887,"MAGAS, Istvan",HUN,Silver,1972
12888,"MOLNAR, Endre",HUN,Silver,1972
12889,"POCSIK, Denes",HUN,Silver,1972
12890,"SAROSI, Laszlo",HUN,Silver,1972
12891,"SZIVOS, Istvan",HUN,Silver,1972
12892,"LAASONEN, Kyösti Kalevi",FIN,Bronze,1972
12893,"WILLIAMS, John Chester",USA,Gold,1972
12894,"JERVILL, Gunnar",SWE,Silver,1972
12895,"GAPCHENKO, Emma",URS,Bronze,1972
12896,"WILBER, Doreen Viola Hansen",USA,Gold,1972
12897,"SZYDLOWSKA, Irena",POL,Silver,1972
12898,"YIFTER, Miruts",ETH,Bronze,1972
12899,"VIREN, Lasse",FIN,Gold,1972
12900,"PUTTEMANS, Emiel",BEL,Silver,1972
12901,"MILLER, Lennox",JAM,Bronze,1972
12902,"BORZOV, Valery",URS,Gold,1972
12903,"TAYLOR, Robert",USA,Silver,1972
12904,"CHIVAS BARO, Silvia",CUB,Bronze,1972
12905,"STECHER, Renate",GDR,Gold,1972
12906,"BOYLE, Raelene Ann",AUS,Silver,1972
12907,"RICHERT-BALZER, Karin",GDR,Bronze,1972
12908,"EHRHARDT, Annelie",GDR,Gold,1972
12909,"BUFANU-STEFANESCU, Valeria",ROU,Silver,1972
12910,"HILL, Thomas",USA,Bronze,1972
12911,"MILBURN, Rodney Jr.",USA,Gold,1972
12912,"DRUT, Guy",FRA,Silver,1972
12913,"DIXON, Rodney",NZL,Bronze,1972
12914,"VASALA, Pekka",FIN,Gold,1972
12915,"KEINO, Kipchoge",KEN,Silver,1972
12916,"PIGNI-CACCHI, Paola",ITA,Bronze,1972
12917,"BRAGINA, Lyudmila",URS,Gold,1972
12918,"HOFFMEISTER, Gunhild",GDR,Silver,1972
12919,"MENNEA, Pietro",ITA,Bronze,1972
12920,"BORZOV, Valery",URS,Gold,1972
12921,"BLACK, Lawrence J.",USA,Silver,1972
12922,"SZEWINSKA, Irena",POL,Bronze,1972
12923,"STECHER, Renate",GDR,Gold,1972
12924,"BOYLE, Raelene Ann",AUS,Silver,1972
12925,"REIMANN, Hans",GDR,Bronze,1972
12926,"FRENKEL, Peter",GDR,Gold,1972
12927,"GOLUBNICHY, Vladimir",URS,Silver,1972
12928,"KANTANEN, Tapio",FIN,Bronze,1972
12929,"KEINO, Kipchoge",KEN,Gold,1972
12930,"JIPCHO, Benjamin Wabura",KEN,Silver,1972
12931,"SANG, Julius",KEN,Bronze,1972
12932,"MATTHEWS, Vincent Edward",USA,Gold,1972
12933,"COLLETT, Wayne Curtis",USA,Silver,1972
12934,"HAMMOND, Kathleen",USA,Bronze,1972
12935,"ZEHRT, Monika",GDR,Gold,1972
12936,"WILDEN-JAHN, Rita",FRG,Silver,1972
12937,"HEMERY, David Peter",GBR,Bronze,1972
12938,"AKII-BUA, John",UGA,Gold,1972
12939,"MANN, Ralph Vernon",USA,Silver,1972
12940,"EHL, Klaus",FRG,Bronze,1972
12941,"HIRSCHT, Jobst",FRG,Bronze,1972
12942,"KLOTZ, Karlheinz",FRG,Bronze,1972
12943,"WUCHERER, Gerhard",FRG,Bronze,1972
12944,"BLACK, Lawrence J.",USA,Gold,1972
12945,"HART, Edward James",USA,Gold,1972
12946,"TAYLOR, Robert",USA,Gold,1972
12947,"TINKER, Gerald A.",USA,Gold,1972
12948,"BORZOV, Valery",URS,Silver,1972
12949,"KORNELYUK, Aleksandr",URS,Silver,1972
12950,"LOVETSKY, Vladimir",URS,Silver,1972
12951,"SILOVS, Yuris",URS,Silver,1972
12952,"CHIVAS BARO, Silvia",CUB,Bronze,1972
12953,"ELEJALDE DIAZ, Marlene",CUB,Bronze,1972
12954,"ROMAY MARTINEZ, Fulgencia",CUB,Bronze,1972
12955,"VALDES CAPOTE, Carmen",CUB,Bronze,1972
12956,"BECKER-MICKLER, Ingrid",FRG,Gold,1972
12957,"KRAUSE, Christiane",FRG,Gold,1972
12958,"RICHTER-IRRGANG, Annegret",FRG,Gold,1972
12959,"ROSENDAHL, Heidemarie",FRG,Gold,1972
12960,"HEINICH, Christina",GDR,Silver,1972
12961,"KAUFER, Evelyn",GDR,Silver,1972
12962,"STECHER, Renate",GDR,Silver,1972
12963,"STRUPPERT, Bärbel",GDR,Silver,1972
12964,"BERTOULD, Gilles",FRA,Bronze,1972
12965,"CARETTE, Jacques",FRA,Bronze,1972
12966,"KERBIROU, Francis",FRA,Bronze,1972
12967,"VELASQUES, Daniel Roger",FRA,Bronze,1972
12968,"ASATI, Charles",KEN,Gold,1972
12969,"NYAMAU, Hezekiah Munyoro",KEN,Gold,1972
12970,"OUKO, Robert",KEN,Gold,1972
12971,"SANG, Julius",KEN,Gold,1972
12972,"HEMERY, David Peter",GBR,Silver,1972
12973,"JENKINS, David Andrew",GBR,Silver,1972
12974,"PASCOE, Alan Peter",GBR,Silver,1972
12975,"REYNOLDS, Martin Edward",GBR,Silver,1972
12976,"BÖDDING-ECKHOFF, Inge",FRG,Bronze,1972
12977,"FALCK-JANZE, Hildegard",FRG,Bronze,1972
12978,"RÜCKES, Anette",FRG,Bronze,1972
12979,"WILDEN-JAHN, Rita",FRG,Bronze,1972
12980,"KÄSLING, Dagmar",GDR,Gold,1972
12981,"KÜHNE, Rita",GDR,Gold,1972
12982,"SEIDLER, Helga",GDR,Gold,1972
12983,"ZEHRT, Monika",GDR,Gold,1972
12984,"FERGERSON, Mabel",USA,Silver,1972
12985,"HAMMOND, Kathleen",USA,Silver,1972
12986,"MANNING-JACKSON, Madeline",USA,Silver,1972
12987,"TOUSSAINT, Cheryl Renee",USA,Silver,1972
12988,"STEWART, Ian",GBR,Bronze,1972
12989,"VIREN, Lasse",FIN,Gold,1972
12990,"GAMMOUDI, Mohamed",TUN,Silver,1972
12991,"YOUNG, Lawrence Dean",USA,Bronze,1972
12992,"KANNENBERG, Bernd",FRG,Gold,1972
12993,"SOLDATENKO, Veniamin",URS,Silver,1972
12994,"BOIT, Michael",KEN,Bronze,1972
12995,"WOTTLE, David James",USA,Gold,1972
12996,"ARZHANOV, Yevgeni",URS,Silver,1972
12997,"HOFFMEISTER, Gunhild",GDR,Bronze,1972
12998,"FALCK-JANZE, Hildegard",FRG,Gold,1972
12999,"SABAITE, Niole",URS,Silver,1972
13000,"KATUS, Ryszard",POL,Bronze,1972
13001,"AVILOV, Nikolai",URS,Gold,1972
13002,"LITVINENKO, Leonid",URS,Silver,1972
13003,"BRUCH, Rickard",SWE,Bronze,1972
13004,"DANEK, Ludvik",TCH,Gold,1972
13005,"SILVESTER, L.Jay",USA,Silver,1972
13006,"STOEVA, Vassilka",BUL,Bronze,1972
13007,"MELNIK, Faina",URS,Gold,1972
13008,"MENIS, Argentina",ROU,Silver,1972
13009,"KHMELEVSKY, Vasili",URS,Bronze,1972
13010,"BONDARCHUK, Anatoli",URS,Gold,1972
13011,"SACHSE, Jochen",GDR,Silver,1972
13012,"STONES, Dwight Edwin",USA,Bronze,1972
13013,"TARMAK, Yuri",URS,Gold,1972
13014,"JUNGE, Stefan",GDR,Silver,1972
13015,"GUSENBAUER-MAJDAN, Ilona",AUT,Bronze,1972
13016,"MEYFARTH, Ulrike",FRG,Gold,1972
13017,"BLAGOEVA-DIMITROVA, Yordanka",BUL,Silver,1972
13018,"SCHMIDT, William David",USA,Bronze,1972
13019,"WOLFERMANN, Klaus",FRG,Gold,1972
13020,"LUSIS, Yanis",URS,Silver,1972
13021,"SCHMIDT, Kathryn Joan",USA,Bronze,1972
13022,"FUCHS, Ruth",GDR,Gold,1972
13023,"TODTEN-HEIN, Jaqueline",GDR,Silver,1972
13024,"ROBINSON, Arnie",USA,Bronze,1972
13025,"WILLIAMS, Randel Luvelle",USA,Gold,1972
13026,"BAUMGARTNER, Hans",FRG,Silver,1972
13027,"SURANOVA, Eva",TCH,Bronze,1972
13028,"ROSENDAHL, Heidemarie",FRG,Gold,1972
13029,"CHRISTOVA-YORGOVA, Diana",BUL,Silver,1972
13030,"WOLDE, Mamo",ETH,Bronze,1972
13031,"SHORTER, Frank Charles",USA,Gold,1972
13032,"LISMONT, Karel",BEL,Silver,1972
13033,"POLLAK, Burglinde",GDR,Bronze,1972
13034,"PETERS, Mary",GBR,Gold,1972
13035,"ROSENDAHL, Heidemarie",FRG,Silver,1972
13036,"JOHNSON, Jan Eric",USA,Bronze,1972
13037,"NORDWIG, Wolfgang",GDR,Gold,1972
13038,"SEAGREN, Robert Lloyd",USA,Silver,1972
13039,"BRIESENICK, Hartmut",GDR,Bronze,1972
13040,"KOMAR, Wladyslaw",POL,Gold,1972
13041,"WOODS, George Roger",USA,Silver,1972
13042,"CHRISTOVA-TODOROVA, Ivanka Mikailova",BUL,Bronze,1972
13043,"CHIZHOVA, Nadezhda",URS,Gold,1972
13044,"HELMBOLD-GUMMEL, Margitta",GDR,Silver,1972
13045,"PRUDENCIO, Nelson",BRA,Bronze,1972
13046,"SANEEV, Viktor",URS,Gold,1972
13047,"DREHMEL, Jörg",GDR,Silver,1972
13048,"ALVAREZ POZO, Miguel",CUB,Bronze,1972
13049,"CALDERON GOMEZ, Miguel",CUB,Bronze,1972
13050,"CANIZARES POEY, Rafael",CUB,Bronze,1972
13051,"CHAPPE GARCIA, Pedro",CUB,Bronze,1972
13052,"DOMECQ FORTUONDO, Juan Carlos",CUB,Bronze,1972
13053,"HERRERA MARTINEZ, Tomas",CUB,Bronze,1972
13054,"HERRERA TABIO, Ruperto",CUB,Bronze,1972
13055,"PEREZ ARMENTEROS, Conrado",CUB,Bronze,1972
13056,"ROCA BRUNET, Juan",CUB,Bronze,1972
13057,"STANDARD JOHNSON, Franklin",CUB,Bronze,1972
13058,"URGELLES GUIBOT, Alejandro",CUB,Bronze,1972
13059,"VARONA VARONA, Oscar",CUB,Bronze,1972
13060,"BELOV, Aleksandr",URS,Gold,1972
13061,"BELOV, Sergei",URS,Gold,1972
13062,"BOLOSHEV, Aleksandr",URS,Gold,1972
13063,"DVORNY, Ivan",URS,Gold,1972
13064,"EDESHKO, Ivan",URS,Gold,1972
13065,"KORKIYA, Mikhail",URS,Gold,1972
13066,"KOVALENKO, Sergei",URS,Gold,1972
13067,"PAULAUSKAS, Modestas",URS,Gold,1972
13068,"POLIVODA, Anatoli",URS,Gold,1972
13069,"SAKANDELIDZE, Zurab",URS,Gold,1972
13070,"VOLNOV, Gennadi",URS,Gold,1972
13071,"ZHARMUKHAMEDOV, Alzhan",URS,Gold,1972
13072,"BANTOM, Michael Allen",USA,Silver,1972
13073,"BREWER, James Turner",USA,Silver,1972
13074,"BURLESON, Thomas Loren",USA,Silver,1972
13075,"COLLINS, Paul Douglas",USA,Silver,1972
13076,"DAVIS, Kenneth Bryan",USA,Silver,1972
13077,"FORBES, James Ricardo",USA,Silver,1972
13078,"HENDERSON, Thomas Edward",USA,Silver,1972
13079,"JONES, Dwight Elmo",USA,Silver,1972
13080,"JONES, Robert Clyde",USA,Silver,1972
13081,"JOYCE, Kevin Francis",USA,Silver,1972
13082,"MCMILLEN, Charles Thomas",USA,Silver,1972
13083,"RATLEFF, William Edward",USA,Silver,1972
13084,"EVANS, Ralph",GBR,Bronze,1972
13085,"RODRIGUEZ CAL, Enrique",ESP,Bronze,1972
13086,"GEDO, György",HUN,Gold,1972
13087,"KIM, U Gil",PRK,Silver,1972
13088,"HUSSING, Peter",FRG,Bronze,1972
13089,"THOMSEN, Hasse",SWE,Bronze,1972
13090,"STEVENSON, Teofilo",CUB,Gold,1972
13091,"ALEXE, Ion",ROU,Silver,1972
13092,"BLAZYNSKI, Leszek",POL,Bronze,1972
13093,"RODRIGUEZ GUARDIOLA, Douglas",CUB,Bronze,1972
13094,"KOSTADINOV, Georghi",BUL,Gold,1972
13095,"RWABDOGO, Leo",UGA,Silver,1972
13096,"CARRERAS, Ricardo Luis",USA,Bronze,1972
13097,"TURPIN, George",GBR,Bronze,1972
13098,"MARTINEZ ROMERO, Orlando",CUB,Gold,1972
13099,"ZAMORA, Alfonso",MEX,Silver,1972
13100,"BOTOS, Andras",HUN,Bronze,1972
13101,"ROJAS, Clemente",COL,Bronze,1972
13102,"KUZNETSOV, Boris",URS,Gold,1972
13103,"WARUINGE, Philip",KEN,Silver,1972
13104,"MBUGUA, Samuel",KEN,Bronze,1972
13105,"PEREZ, Alfonso",COL,Bronze,1972
13106,"SZCZEPANSKI, Jan",POL,Gold,1972
13107,"ORBAN, Laszlo",HUN,Silver,1972
13108,"DABORG, Issaka",NIG,Bronze,1972
13109,"VUJIN, Zvonimir",YUG,Bronze,1972
13110,"SEALES, Ray P.",USA,Gold,1972
13111,"ANGELOV, Angel",BUL,Silver,1972
13112,"MURUNGA, Richard (Tiger)",KEN,Bronze,1972
13113,"VALDEZ, John (Jesse)",USA,Bronze,1972
13114,"CORREA VAILLANT, Emilio",CUB,Gold,1972
13115,"KAJDI, Janos",HUN,Silver,1972
13116,"MINTER, Alan",GBR,Bronze,1972
13117,"TIEPOLD, Peter",GDR,Bronze,1972
13118,"KOTTYSCH, Dieter",FRG,Gold,1972
13119,"RUDKOWSKI, Wieslaw",POL,Silver,1972
13120,"AMARTEY, Prince",GHA,Bronze,1972
13121,"JOHNSON, Marvin L.",USA,Bronze,1972
13122,"LEMECHEW, Viacheslav",URS,Gold,1972
13123,"VIRTANEN, Reima Valdemar",FIN,Silver,1972
13124,"GORTAT, Janusz",POL,Bronze,1972
13125,"IKHOURIA, Isaac",NGR,Bronze,1972
13126,"PARLOV, Mate",YUG,Gold,1972
13127,"CARRILLO QUESADA, Gilberto",CUB,Silver,1972
13128,"LEWE, Detlef",FRG,Bronze,1972
13129,"PATZAICHIN, Ivan",ROU,Gold,1972
13130,"WICHMANN, Tamas",HUN,Silver,1972
13131,"BURTCHIN, Ivan",BUL,Bronze,1972
13132,"DAMIANOV, Fedia",BUL,Bronze,1972
13133,"CHESSYUNAS, Vladislavas",URS,Gold,1972
13134,"LOBANOV, Yuri",URS,Gold,1972
13135,"COVALIOV, Serghei",ROU,Silver,1972
13136,"PATZAICHIN, Ivan",ROU,Silver,1972
13137,"CSAPO, Geza",HUN,Bronze,1972
13138,"SHAPARENKO, Aleksandr",URS,Gold,1972
13139,"PETERSON, Rolf",SWE,Silver,1972
13140,"PFEFFER, Anna",HUN,Bronze,1972
13141,"RYABCHINSKAYA, Yulia",URS,Gold,1972
13142,"JAAPIES, Marie (Mieke)",NED,Silver,1972
13143,"PISZCZ, Rafal Maciej",POL,Bronze,1972
13144,"SZUSZKIEWICZ, Wladyslaw",POL,Bronze,1972
13145,"GORBACHEV, Nikolai",URS,Gold,1972
13146,"KRATASYUK, Viktor",URS,Gold,1972
13147,"DEME, Jozsef",HUN,Silver,1972
13148,"RATKAI, Janos",HUN,Silver,1972
13149,"DUMITRU, Viorica",ROU,Bronze,1972
13150,"NICHIFOROV-MIHOREANU, Maria",ROU,Bronze,1972
13151,"KHVEDOSYUK-PINAEVA, Lyudmila",URS,Gold,1972
13152,"KURYSHKO, Ekaterina",URS,Gold,1972
13153,"GRABOWSKY, Petra",GDR,Silver,1972
13154,"KASCHUBE, Ilse",GDR,Silver,1972
13155,"AMUNDSEN, Steinar",NOR,Bronze,1972
13156,"BERGER, Tore",NOR,Bronze,1972
13157,"JOHANSEN, Jan",NOR,Bronze,1972
13158,"SÖBY, Egil Wike",NOR,Bronze,1972
13159,"DIDENKO, Valeri",URS,Gold,1972
13160,"FILATOV, Yuri",URS,Gold,1972
13161,"MOROZOV, Vladimir",URS,Gold,1972
13162,"STETSENKO, Yuri",URS,Gold,1972
13163,"SCIOTNIC, Atanase",ROU,Silver,1972
13164,"VARTOLOMEU, Roman",ROU,Silver,1972
13165,"VERNESCU, Aurel",ROU,Silver,1972
13166,"ZAFIU, Mihai",ROU,Silver,1972
13167,"MCEWAN, James Patrick",USA,Bronze,1972
13168,"EIBEN, Reinhard",GDR,Gold,1972
13169,"KAUDER, Reinhold",FRG,Silver,1972
13170,"OLRY, Jean-Claude",FRA,Bronze,1972
13171,"OLRY, Jean-Louis",FRA,Bronze,1972
13172,"AMEND, Rolf-Dieter",GDR,Gold,1972
13173,"HOFMANN, Walter",GDR,Gold,1972
13174,"BAUES, Wilhelm Bernd",FRG,Silver,1972
13175,"SCHUMACHER, Hans-Otto",FRG,Silver,1972
13176,"GIMPEL, Harald",GDR,Bronze,1972
13177,"HORN, Siegbert",GDR,Gold,1972
13178,"SATTLER, Norbert",AUT,Silver,1972
13179,"WUNDERLICH, Magdalena",FRG,Bronze,1972
13180,"BAHMANN, Angelika",GDR,Gold,1972
13181,"GROTHAUS, Gisela",FRG,Silver,1972
13182,"KUIPER, Hennie",NED,Gold,1972
13183,"SEFTON, Clyde",AUS,Silver,1972
13184,"KOMNATOV, Gennadi",URS,Gold,1972
13185,"LIKHACHEV, Valery",URS,Gold,1972
13186,"SHUKHOV, Boris",URS,Gold,1972
13187,"YARDY, Valery",URS,Gold,1972
13188,"BARCIK, Edward",POL,Silver,1972
13189,"LIS, Lucjan",POL,Silver,1972
13190,"SZOZDA, Stanislaw",POL,Silver,1972
13191,"SZURKOWSKI, Ryszard",POL,Silver,1972
13192,"SCHÜTZE, Jürgen",GDR,Bronze,1972
13193,"FREDBORG, Niels Christian",DEN,Gold,1972
13194,"CLARK, Daniel",AUS,Silver,1972
13195,"BEK, Andrzej",POL,Bronze,1972
13196,"KOCOT, Benedykt",POL,Bronze,1972
13197,"SEMENETS, Vladimir",URS,Gold,1972
13198,"TSELOVALNIKOV, Igor",URS,Gold,1972
13199,"GESCHKE, Hans-Jürgen",GDR,Silver,1972
13200,"OTTO, Werner",GDR,Silver,1972
13201,"LUTZ, Hans",FRG,Bronze,1972
13202,"KNUDSEN, Knut",NOR,Gold,1972
13203,"KURMANN, Xaver",SUI,Silver,1972
13204,"PKHAKADZE, Omar",URS,Bronze,1972
13205,"MORELON, Daniel",FRA,Gold,1972
13206,"NICHOLSON, John Michael",AUS,Silver,1972
13207,"BENNETT, Michael John",GBR,Bronze,1972
13208,"HALLAM, Ian",GBR,Bronze,1972
13209,"KEEBLE, Ronald James",GBR,Bronze,1972
13210,"MOORE, William",GBR,Bronze,1972
13211,"COLOMBO, Jürgen",FRG,Gold,1972
13212,"HARITZ, Günter",FRG,Gold,1972
13213,"HEMPEL, Udo",FRG,Gold,1972
13214,"SCHUHMACHER, Günther",FRG,Gold,1972
13215,"HUSCHKE, Thomas",GDR,Silver,1972
13216,"RICHTER, Heinz",GDR,Silver,1972
13217,"RICHTER, Herbert",GDR,Silver,1972
13218,"UNTERWALDER, Uwe",GDR,Silver,1972
13219,"NECKERMANN, Josef",FRG,Bronze,1972
13220,"LINSENHOFF, Liselott",FRG,Gold,1972
13221,"PETUSHKOVA, Elena",URS,Silver,1972
13222,"KALITA, Ivan",URS,Gold,1972
13223,"KIZIMOV, Ivan",URS,Gold,1972
13224,"NECKERMANN, Josef",FRG,Silver,1972
13225,"HAKANSSON, Ulla",SWE,Bronze,1972
13226,"SWAAB, Ninna",SWE,Bronze,1972
13227,"VON ROSEN, Maud",SWE,Bronze,1972
13228,"PETUSHKOVA, Elena",URS,Gold,1972
13229,"LINSENHOFF, Liselott",FRG,Silver,1972
13230,"SCHLÜTER-SCHMIDT, Karin",FRG,Silver,1972
13231,"JÖNSSON, Jan",SWE,Bronze,1972
13232,"MEADE, Richard John Hanray",GBR,Gold,1972
13233,"ARGENTON, Alessandro",ITA,Silver,1972
13234,"GOESSING, Ludwig (Lutz)",FRG,Bronze,1972
13235,"KARSTEN, Horst",FRG,Bronze,1972
13236,"KLUGMANN, Harry",FRG,Bronze,1972
13237,"SCHULTZ, Karl",FRG,Bronze,1972
13238,"MEADE, Richard John Hanray",GBR,Gold,1972
13239,"PHILLIPS, Mark Anthony Peter",GBR,Gold,1972
13240,"DAVIDSON, Bruce Oram",USA,Silver,1972
13241,"FREEMAN, Kevin John",USA,Silver,1972
13242,"PLUMB, John Michael",USA,Silver,1972
13243,"WOFFORD, James Cunningham",USA,Silver,1972
13244,"GORDON-WATSON, Mary Diana",GBR,Gold,1972
13245,"PARKER, Bridget",GBR,Gold,1972
13246,"SHAPIRO, Neal",USA,Bronze,1972
13247,"MANCINELLI, Graziano",ITA,Gold,1972
13248,"MOORE, Ann Elizabeth",GBR,Silver,1972
13249,"D'INZEO, Piero",ITA,Bronze,1972
13250,"D'INZEO, Raimondo",ITA,Bronze,1972
13251,"MANCINELLI, Graziano",ITA,Bronze,1972
13252,"ORLANDI, Vittorio",ITA,Bronze,1972
13253,"LIGGES, Fritz",FRG,Gold,1972
13254,"STEENKEN, Hartwig",FRG,Gold,1972
13255,"WILTFANG, Gerhard (Gerd)",FRG,Gold,1972
13256,"WINKLER, Hans Günter",FRG,Gold,1972
13257,"CHAPOT, Frank Davis",USA,Silver,1972
13258,"SHAPIRO, Neal",USA,Silver,1972
13259,"STEINKRAUS, William Clark",USA,Silver,1972
13260,"KUSNER, Kathryn Hallowell",USA,Silver,1972
13261,"KULCSAR, Gyözö",HUN,Bronze,1972
13262,"FENYVESI, Csaba",HUN,Gold,1972
13263,"LADEGAILLERIE, Jacques",FRA,Silver,1972
13264,"KRISS, Grigori",URS,Bronze,1972
13265,"MODZALEVSKY, Viktor",URS,Bronze,1972
13266,"PARAMONOV, Sergei",URS,Bronze,1972
13267,"VALETOV, Igor",URS,Bronze,1972
13268,"ZAZHITSKY, Georgi",URS,Bronze,1972
13269,"ERDÖS, Sandor",HUN,Gold,1972
13270,"FENYVESI, Csaba",HUN,Gold,1972
13271,"KULCSAR, Gyözö",HUN,Gold,1972
13272,"OSZTRICS, Istvan",HUN,Gold,1972
13273,"SCHMITT, Pal",HUN,Gold,1972
13274,"EVEQUOZ, Guy",SUI,Silver,1972
13275,"GIGER, Daniel",SUI,Silver,1972
13276,"KAUTER, Christian",SUI,Silver,1972
13277,"LÖTSCHER, Peter",SUI,Silver,1972
13278,"SUCHANECKI, Francois",SUI,Silver,1972
13279,"NOËL, Christian",FRA,Bronze,1972
13280,"WOYDA, Witold",POL,Gold,1972
13281,"KAMUTI, Jenö",HUN,Silver,1972
13282,"GOROKHOVA, Galina",URS,Bronze,1972
13283,"RAGNO-LONZI, Antonella",ITA,Gold,1972
13284,"BOBIS-FERKASINSZKY, Ildiko",HUN,Silver,1972
13285,"BEROLATTI, Gilles",FRA,Bronze,1972
13286,"MAGNAN, Jean-Claude",FRA,Bronze,1972
13287,"NOËL, Christian",FRA,Bronze,1972
13288,"REVENU, Daniel",FRA,Bronze,1972
13289,"TALVARD, Bernard",FRA,Bronze,1972
13290,"DABROWSKI, Marek",POL,Gold,1972
13291,"GODEL, Arkadiusz",POL,Gold,1972
13292,"KACZMAREK, Jerzy",POL,Gold,1972
13293,"KOZIEJOWSKI, Lech",POL,Gold,1972
13294,"WOYDA, Witold",POL,Gold,1972
13295,"DENISOV, Vladimir",URS,Silver,1972
13296,"KOTETSEV, Anatoli",URS,Silver,1972
13297,"PUTYATIN, Viktor",URS,Silver,1972
13298,"ROMANOV, Leonid",URS,Silver,1972
13299,"STANKOVICH, Vasili",URS,Silver,1972
13300,"DERSIDAN-ENE-PASCU, Ana",ROU,Bronze,1972
13301,"GYULAI-DRIMBA-JENEI, Ileana",ROU,Bronze,1972
13302,"IENCIC-STAHL, Ecaterina Clara",ROU,Bronze,1972
13303,"ORBAN-SZABO, Olga",ROU,Bronze,1972
13304,"CHIRKOVA, Svetlana",URS,Gold,1972
13305,"GOROKHOVA, Galina",URS,Gold,1972
13306,"NOVIKOVA-BELOVA, Elena",URS,Gold,1972
13307,"PETRENKO-SAMUSENKO, Tatyana",URS,Gold,1972
13308,"ZABELINA, Aleksandra",URS,Gold,1972
13309,"BOBIS-FERKASINSZKY, Ildiko",HUN,Silver,1972
13310,"GULACSI-SZOLNOKI, Maria",HUN,Silver,1972
13311,"MATUSCAK-RONAY, Ildiko",HUN,Silver,1972
13312,"REJTO-UJLAKI, Ildiko",HUN,Silver,1972
13313,"SCHWARCZENBERGER, Ildiko",HUN,Silver,1972
13314,"NAZLYMOV, Vladimir",URS,Bronze,1972
13315,"SIDYAK, Viktor",URS,Gold,1972
13316,"MAROTH, Peter",HUN,Silver,1972
13317,"BAKONYI, Peter",HUN,Bronze,1972
13318,"GEREVICH, Pal",HUN,Bronze,1972
13319,"KOVACS, Tamas",HUN,Bronze,1972
13320,"MAROTH, Peter",HUN,Bronze,1972
13321,"PEZSA, Tibor",HUN,Bronze,1972
13322,"MAFFEI, Michele",ITA,Gold,1972
13323,"MONTANO, Mario Aldo",ITA,Gold,1972
13324,"MONTANO, Mario Tullio",ITA,Gold,1972
13325,"RIGOLI, Rolando",ITA,Gold,1972
13326,"SALVADORI, Cesare",ITA,Gold,1972
13327,"BASHENOV, Viktor",URS,Silver,1972
13328,"NAZLYMOV, Vladimir",URS,Silver,1972
13329,"RAKITA, Mark",URS,Silver,1972
13330,"SIDYAK, Viktor",URS,Silver,1972
13331,"VINOKUROV, Eduard",URS,Silver,1972
13332,"ANDRIASYAN, Arkadi",URS,Bronze,1972
13333,"BLOKHIN, Oleg",URS,Bronze,1972
13334,"BRANSCH, Bernd",GDR,Bronze,1972
13335,"CROY, Jürgen",GDR,Bronze,1972
13336,"DUCKE, Peter",GDR,Bronze,1972
13337,"DZODZUASHVILI, Revaz",URS,Bronze,1972
13338,"ELISEEV, Yuri",URS,Bronze,1972
13339,"EVRYUZHIKHIN, Gennadi",URS,Bronze,1972
13340,"GANZERA, Frank",GDR,Bronze,1972
13341,"HÄFNER, Reinhard",GDR,Bronze,1972
13342,"IRMSCHER, Harald",GDR,Bronze,1972
13343,"ISTOMIN, Yuri",URS,Bronze,1972
13344,"KAPLICHNY, Vladimir",URS,Bronze,1972
13345,"KHURCILAVA, Murtaz",URS,Bronze,1972
13346,"KOLOTOV, Viktor",URS,Bronze,1972
13347,"KREISCHE, Hans-Jürgen",GDR,Bronze,1972
13348,"KUKSOV, Anatoli",URS,Bronze,1972
13349,"KURBJUWEIT, Lothar",GDR,Bronze,1972
13350,"LOVCHEV, Yevgeni",URS,Bronze,1972
13351,"OLSHANSKY, Sergei",URS,Bronze,1972
13352,"ONISHCHENKO, Vladimir",URS,Bronze,1972
