date,return
2018-06-01,-1.4249941450935897
2018-05-31,-0.7261473981748889
2018-05-30,-0.2902517151237584
2018-05-29,-0.7397423825612939
2018-05-25,-0.16864347405555316
2018-05-24,-0.4397105859702608
2018-05-23,-0.07548017241917299
2018-05-22,-1.2772651792291343
2018-05-21,0.25673453901605825
2018-05-18,-0.6994815384809547
2018-05-17,0.4693941068490953
2018-05-16,0.3489783532267842
2018-05-15,-0.7030895620180486
2018-05-14,1.612821358779793
2018-05-11,0.08554266518476705
2018-05-10,0.3849249178057311
2018-05-09,-0.06711909911253182
2018-05-08,-0.9707711442786008
2018-05-07,0.4866898184489981
2018-05-04,-1.1992700638694151
2018-05-03,-0.5613713273664569
2018-05-02,-0.1523464211313062
2018-05-01,0.8014372356148978
2018-04-30,-1.0194279069179453
