,0,1
253,255,8.31
254,256,8.305
255,257,8.305
256,258,8.305
257,259,8.3
258,260,8.295
259,261,8.295
260,262,8.295
261,263,8.3
262,264,8.295
263,265,8.3
264,266,8.295
265,267,8.295
266,268,8.295
267,269,8.2905
268,270,8.285
269,271,8.285
270,272,8.28
271,273,8.28
272,274,8.28
273,275,8.28
274,276,8.285
275,277,8.281
276,278,8.28
277,279,8.28
278,280,8.28
279,281,8.29
280,282,8.28
281,283,8.28
282,284,8.27
283,285,8.265
284,286,8.27
285,287,8.265
286,288,8.26
287,289,8.27
288,290,8.26
289,291,8.265
290,292,8.26
291,293,8.26
292,294,8.26
293,295,8.265
294,296,8.26
295,297,8.26
296,298,8.26
297,299,8.26
298,300,8.26
299,301,8.265
300,302,8.2693
301,303,8.27
302,304,8.27
303,305,8.265
304,306,8.265
305,307,8.265
306,308,8.26
307,309,8.26
308,310,8.27
309,311,8.27
310,312,8.265
311,313,8.265
312,314,8.27
313,315,8.27
314,316,8.265
315,317,8.265
316,318,8.264
317,319,8.27
318,320,8.265
319,321,8.27
320,322,8.27
321,323,8.27
322,324,8.27
323,325,8.265
324,326,8.265
325,327,8.27
326,328,8.27
327,329,8.265
328,330,8.265
329,331,8.27
330,332,8.27
331,333,8.26
332,334,8.265
333,335,8.27
334,336,8.26
335,337,8.27
336,338,8.265
337,339,8.27
338,340,8.26
339,341,8.27
340,342,8.265
341,343,8.265
342,344,8.26
343,345,8.26
344,346,8.27
345,347,8.265
346,348,8.265
347,349,8.26
348,350,8.26
349,351,8.26
350,352,8.265
351,353,8.265
352,354,8.26
353,355,8.26
354,356,8.26
355,357,8.27
356,358,8.265
357,359,8.265
358,360,8.265
359,361,8.265
360,362,8.265
361,363,8.265
362,364,8.265
363,365,8.265
364,366,8.265
365,367,8.265
366,368,8.26
367,369,8.265
368,370,8.265
369,371,8.27
370,372,8.265
371,373,8.2662
372,374,8.265
373,375,8.27
374,376,8.265
375,377,8.27
376,378,8.265
377,379,8.265
378,380,8.265
379,381,8.27
380,382,8.27
381,383,8.27
382,384,8.29
383,385,8.28
384,386,8.275
385,387,8.28
386,388,8.275
387,389,8.275
388,390,8.28
