date,lag_10_day,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day
2013-08-13,0.05989009721657223,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645,0.06160231700437696,0.07727936704450417,0.06754562184491303,0.05907148401979737,0.05352749804217765
2013-08-14,0.05352749804217765,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645,0.06160231700437696,0.07727936704450417,0.06754562184491303,0.05907148401979737
2013-08-15,0.05907148401979737,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645,0.06160231700437696,0.07727936704450417,0.06754562184491303
2013-08-16,0.06754562184491303,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645,0.06160231700437696,0.07727936704450417
2013-08-19,0.07727936704450417,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645,0.06160231700437696
2013-08-20,0.06160231700437696,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812,0.055343695836517645
2013-08-21,0.055343695836517645,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634,0.04164346859295812
2013-08-22,0.04164346859295812,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213,0.022625603701911634
2013-08-23,0.022625603701911634,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135,0.04832293023111213
2013-08-26,0.04832293023111213,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262,0.0933450226948135
2013-08-27,0.0933450226948135,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607,0.10558731674079262
2013-08-28,0.10558731674079262,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985,0.095742451331607
2013-08-29,0.095742451331607,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688,0.09620589565980985
2013-08-30,0.09620589565980985,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654,0.09842122456270688
2013-09-03,0.09842122456270688,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432,0.07314733956681654
2013-09-04,0.07314733956681654,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915,0.06861536096471432
2013-09-05,0.06861536096471432,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264,0.062296593442031915
2013-09-06,0.062296593442031915,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185,0.050959425782610264
2013-09-09,0.050959425782610264,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794,0.048885840524172185
2013-09-10,0.048885840524172185,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523,0.01337561094760794
2013-09-11,0.01337561094760794,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053,0.014174581621270523
2013-09-12,0.014174581621270523,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828,0.012061613803422053
2013-09-13,0.012061613803422053,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142,-0.0003174554980223828
2013-09-16,-0.0003174554980223828,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594,0.0005529152641987142
2013-09-17,0.0005529152641987142,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637,0.018695449659338594
2013-09-18,0.018695449659338594,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097,0.008055709450716637
2013-09-19,0.008055709450716637,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006,0.010352019781581097
2013-09-20,0.010352019781581097,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947,0.021700896516058006
2013-09-23,0.021700896516058006,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345,-0.005671952676920947
