,Date,Day,status_country,counts
182,8/20/2014,151,Cases_Liberia,1082.0
183,8/18/2014,149,Cases_Liberia,972.0
184,8/16/2014,147,Cases_Liberia,834.0
185,8/13/2014,144,Cases_Liberia,786.0
186,8/11/2014,142,Cases_Liberia,670.0
187,8/9/2014,140,Cases_Liberia,599.0
188,8/6/2014,137,Cases_Liberia,554.0
189,8/4/2014,135,Cases_Liberia,516.0
190,8/1/2014,132,Cases_Liberia,468.0
191,7/30/2014,129,Cases_Liberia,391.0
192,7/27/2014,126,Cases_Liberia,329.0
193,7/23/2014,123,Cases_Liberia,249.0
194,7/20/2014,120,Cases_Liberia,224.0
195,7/17/2014,117,Cases_Liberia,196.0
196,7/14/2014,114,Cases_Liberia,174.0
197,7/12/2014,112,Cases_Liberia,172.0
198,7/8/2014,108,Cases_Liberia,142.0
199,7/6/2014,106,Cases_Liberia,131.0
200,7/2/2014,102,Cases_Liberia,115.0
201,6/30/2014,100,Cases_Liberia,107.0
202,6/22/2014,92,Cases_Liberia,51.0
203,6/20/2014,90,Cases_Liberia,
204,6/19/2014,89,Cases_Liberia,41.0
205,6/18/2014,88,Cases_Liberia,
206,6/17/2014,87,Cases_Liberia,
207,6/16/2014,86,Cases_Liberia,33.0
208,6/10/2014,80,Cases_Liberia,13.0
209,6/5/2014,75,Cases_Liberia,13.0
210,6/3/2014,73,Cases_Liberia,13.0
211,6/1/2014,71,Cases_Liberia,13.0
212,5/28/2014,67,Cases_Liberia,13.0
213,5/27/2014,66,Cases_Liberia,12.0
214,5/23/2014,62,Cases_Liberia,12.0
215,5/12/2014,51,Cases_Liberia,12.0
216,5/10/2014,49,Cases_Liberia,12.0
217,5/7/2014,46,Cases_Liberia,13.0
218,5/5/2014,44,Cases_Liberia,13.0
219,5/3/2014,42,Cases_Liberia,13.0
220,5/1/2014,40,Cases_Liberia,13.0
221,4/26/2014,35,Cases_Liberia,
222,4/24/2014,33,Cases_Liberia,35.0
223,4/23/2014,32,Cases_Liberia,
224,4/22/2014,31,Cases_Liberia,
225,4/21/2014,30,Cases_Liberia,34.0
226,4/20/2014,29,Cases_Liberia,
227,4/17/2014,26,Cases_Liberia,27.0
228,4/16/2014,25,Cases_Liberia,27.0
229,4/15/2014,24,Cases_Liberia,
230,4/14/2014,23,Cases_Liberia,
231,4/11/2014,20,Cases_Liberia,26.0
232,4/9/2014,18,Cases_Liberia,25.0
233,4/7/2014,16,Cases_Liberia,21.0
234,4/4/2014,13,Cases_Liberia,18.0
235,4/1/2014,10,Cases_Liberia,8.0
236,3/31/2014,9,Cases_Liberia,8.0
237,3/29/2014,7,Cases_Liberia,7.0
238,3/28/2014,6,Cases_Liberia,3.0
239,3/27/2014,5,Cases_Liberia,8.0
240,3/26/2014,4,Cases_Liberia,
241,3/25/2014,3,Cases_Liberia,
242,3/24/2014,2,Cases_Liberia,
243,3/22/2014,0,Cases_Liberia,
244,1/5/2015,289,Cases_SierraLeone,10030.0
245,1/4/2015,288,Cases_SierraLeone,9780.0
246,1/3/2015,287,Cases_SierraLeone,9722.0
247,1/2/2015,286,Cases_SierraLeone,
248,12/31/2014,284,Cases_SierraLeone,9633.0
249,12/28/2014,281,Cases_SierraLeone,9446.0
250,12/27/2014,280,Cases_SierraLeone,9409.0
251,12/24/2014,277,Cases_SierraLeone,9203.0
252,12/21/2014,273,Cases_SierraLeone,9004.0
253,12/20/2014,272,Cases_SierraLeone,8939.0
254,12/18/2014,271,Cases_SierraLeone,
255,12/14/2014,267,Cases_SierraLeone,8356.0
256,12/9/2014,262,Cases_SierraLeone,
257,12/7/2014,260,Cases_SierraLeone,7897.0
258,12/3/2014,256,Cases_SierraLeone,
259,11/30/2014,253,Cases_SierraLeone,7312.0
260,11/28/2014,251,Cases_SierraLeone,
261,11/23/2014,246,Cases_SierraLeone,6599.0
262,11/22/2014,245,Cases_SierraLeone,
263,11/18/2014,241,Cases_SierraLeone,6190.0
264,11/16/2014,239,Cases_SierraLeone,6073.0
265,11/15/2014,238,Cases_SierraLeone,
266,11/11/2014,234,Cases_SierraLeone,5586.0
267,11/10/2014,233,Cases_SierraLeone,
268,11/9/2014,232,Cases_SierraLeone,5368.0
269,11/8/2014,231,Cases_SierraLeone,
270,11/4/2014,227,Cases_SierraLeone,4862.0
271,11/3/2014,226,Cases_SierraLeone,
272,11/2/2014,225,Cases_SierraLeone,4759.0
273,10/31/2014,222,Cases_SierraLeone,
274,10/29/2014,220,Cases_SierraLeone,5338.0
275,10/27/2014,218,Cases_SierraLeone,5235.0
276,10/25/2014,216,Cases_SierraLeone,
277,10/22/2014,214,Cases_SierraLeone,3896.0
278,10/21/2014,213,Cases_SierraLeone,
279,10/19/2014,211,Cases_SierraLeone,3706.0
280,10/18/2014,210,Cases_SierraLeone,
281,10/14/2014,206,Cases_SierraLeone,3410.0
282,10/13/2014,205,Cases_SierraLeone,
283,10/12/2014,204,Cases_SierraLeone,3252.0
284,10/11/2014,203,Cases_SierraLeone,
285,10/8/2014,200,Cases_SierraLeone,2950.0
286,10/7/2014,199,Cases_SierraLeone,
287,10/5/2014,197,Cases_SierraLeone,2789.0
288,10/4/2014,196,Cases_SierraLeone,
289,10/1/2014,193,Cases_SierraLeone,2437.0
290,9/28/2014,190,Cases_SierraLeone,2304.0
291,9/23/2014,185,Cases_SierraLeone,2021.0
292,9/21/2014,183,Cases_SierraLeone,1940.0
293,9/20/2014,182,Cases_SierraLeone,1813.0
294,9/19/2014,181,Cases_SierraLeone,
295,9/17/2014,179,Cases_SierraLeone,
296,9/14/2014,176,Cases_SierraLeone,1673.0
297,9/13/2014,175,Cases_SierraLeone,1620.0
298,9/10/2014,172,Cases_SierraLeone,1478.0
299,9/9/2014,171,Cases_SierraLeone,
300,9/7/2014,169,Cases_SierraLeone,1424.0
301,9/5/2014,167,Cases_SierraLeone,1261.0
302,8/31/2014,162,Cases_SierraLeone,1216.0
303,8/26/2014,157,Cases_SierraLeone,1026.0
304,8/20/2014,151,Cases_SierraLeone,910.0
305,8/18/2014,149,Cases_SierraLeone,907.0
306,8/16/2014,147,Cases_SierraLeone,848.0
307,8/13/2014,144,Cases_SierraLeone,810.0
308,8/11/2014,142,Cases_SierraLeone,783.0
309,8/9/2014,140,Cases_SierraLeone,730.0
310,8/6/2014,137,Cases_SierraLeone,717.0
311,8/4/2014,135,Cases_SierraLeone,691.0
312,8/1/2014,132,Cases_SierraLeone,646.0
313,7/30/2014,129,Cases_SierraLeone,574.0
314,7/27/2014,126,Cases_SierraLeone,533.0
315,7/23/2014,123,Cases_SierraLeone,525.0
316,7/20/2014,120,Cases_SierraLeone,454.0
317,7/17/2014,117,Cases_SierraLeone,442.0
318,7/14/2014,114,Cases_SierraLeone,397.0
319,7/12/2014,112,Cases_SierraLeone,386.0
320,7/8/2014,108,Cases_SierraLeone,337.0
321,7/6/2014,106,Cases_SierraLeone,305.0
322,7/2/2014,102,Cases_SierraLeone,252.0
323,6/30/2014,100,Cases_SierraLeone,239.0
324,6/22/2014,92,Cases_SierraLeone,
325,6/20/2014,90,Cases_SierraLeone,158.0
326,6/19/2014,89,Cases_SierraLeone,
