,Temperature,Date
641,60.1,20100127 17:00
642,57.5,20100127 18:00
643,54.0,20100127 19:00
644,51.9,20100127 20:00
645,50.4,20100127 21:00
646,49.3,20100127 22:00
647,48.4,20100127 23:00
648,47.8,20100128 00:00
649,46.9,20100128 01:00
650,46.2,20100128 02:00
651,45.6,20100128 03:00
652,45.0,20100128 04:00
653,44.5,20100128 05:00
654,44.5,20100128 06:00
655,43.6,20100128 07:00
656,44.1,20100128 08:00
657,47.5,20100128 09:00
658,51.0,20100128 10:00
659,54.1,20100128 11:00
660,56.4,20100128 12:00
661,58.5,20100128 13:00
662,59.9,20100128 14:00
663,60.9,20100128 15:00
664,61.0,20100128 16:00
665,60.1,20100128 17:00
666,57.6,20100128 18:00
667,54.1,20100128 19:00
668,51.8,20100128 20:00
669,50.5,20100128 21:00
670,49.3,20100128 22:00
671,48.4,20100128 23:00
672,47.9,20100129 00:00
673,47.0,20100129 01:00
674,46.3,20100129 02:00
675,45.7,20100129 03:00
676,45.1,20100129 04:00
677,44.7,20100129 05:00
678,44.8,20100129 06:00
679,43.8,20100129 07:00
680,44.3,20100129 08:00
681,47.6,20100129 09:00
682,51.0,20100129 10:00
683,54.1,20100129 11:00
684,56.3,20100129 12:00
685,58.3,20100129 13:00
686,59.8,20100129 14:00
687,60.7,20100129 15:00
688,60.8,20100129 16:00
689,59.9,20100129 17:00
690,57.5,20100129 18:00
691,54.0,20100129 19:00
692,51.8,20100129 20:00
693,50.4,20100129 21:00
694,49.4,20100129 22:00
695,48.4,20100129 23:00
696,47.8,20100130 00:00
697,46.9,20100130 01:00
698,46.2,20100130 02:00
699,45.6,20100130 03:00
700,45.1,20100130 04:00
701,44.6,20100130 05:00
702,44.7,20100130 06:00
703,43.7,20100130 07:00
704,44.2,20100130 08:00
705,47.5,20100130 09:00
706,50.8,20100130 10:00
707,53.8,20100130 11:00
708,56.1,20100130 12:00
709,58.1,20100130 13:00
710,59.6,20100130 14:00
711,60.6,20100130 15:00
712,60.7,20100130 16:00
713,59.9,20100130 17:00
714,57.5,20100130 18:00
715,54.0,20100130 19:00
716,51.8,20100130 20:00
717,50.4,20100130 21:00
718,49.3,20100130 22:00
719,48.3,20100130 23:00
720,47.8,20100131 00:00
721,46.8,20100131 01:00
722,46.1,20100131 02:00
723,45.5,20100131 03:00
724,45.0,20100131 04:00
725,44.5,20100131 05:00
726,44.7,20100131 06:00
727,43.7,20100131 07:00
728,44.2,20100131 08:00
729,47.5,20100131 09:00
730,50.8,20100131 10:00
731,54.0,20100131 11:00
732,56.2,20100131 12:00
733,58.2,20100131 13:00
734,59.8,20100131 14:00
735,60.7,20100131 15:00
736,60.9,20100131 16:00
737,60.0,20100131 17:00
738,57.7,20100131 18:00
739,54.2,20100131 19:00
740,51.9,20100131 20:00
741,50.4,20100131 21:00
742,49.3,20100131 22:00
743,48.2,20100131 23:00
744,47.8,20100201 00:00
